Rate,Rate_Accel,Rate_CV,Entropy,Ent_Change,Ent_MA,Size_Std,SizeStd_Change,SizeStd_MA,Label
23775.998,49.0,0.025205554,0.02106885,0.0058352803,0.014185835,17.857363,-0.20951901,-56.476456,1
20.999994,-3.257133e-07,0.24174562,1.5099685,0.28139225,1.833207,81.85736,-0.959519,135.52354,1
25801.0,9595.999,0.19371924,2.2015016,-0.13895102,2.191286,17.857363,-0.45951903,71.523544,1
20598.0,2620.9998,0.6900063,2.2069457,-0.13359691,2.3473353,17.857363,6.540481,71.523544,1
12755.0,5895.9995,0.35566896,0.045526307,-0.0011613719,0.06697266,17.857363,-7.959519,71.523544,1
22681.0,1972.0,0.044605114,1.5843651,-0.010054287,1.5537208,17.857363,-2.209519,71.523544,1
21639.0,-164.99998,0.035206735,0.016577998,0.006925776,0.0139345415,17.857363,-2.959519,71.523544,1
19776.0,-5219.0,0.10022077,2.1216815,-0.060256034,2.179214,17.857363,-6.459519,71.523544,1
10932.0,-1656.0,0.14527231,1.048384,-0.014954697,1.032431,17.857363,-7.709519,71.523544,1
19760.0,4595.0,0.11503262,2.4502122,0.14351274,2.581553,17.857363,1.790481,71.523544,1
16636.0,-724.0,0.14530541,2.2858388,-0.034195703,2.2804012,17.857363,18.040482,71.523544,1
21971.0,461.99997,0.049758606,2.5325878,-0.045977823,2.3831768,17.857363,-2.959519,71.523544,1
17794.0,-1465.9999,0.18735033,1.594043,0.117817,1.5616134,17.857363,1.290481,71.523544,1
13036.0,-852.0,0.12775485,0.078814305,-0.018519573,0.08073513,17.857363,18.290482,71.523544,1
20660.0,7000.0,0.18115553,2.2061555,0.4347439,1.9890722,17.857363,2.040481,71.523544,1
20350.0,-676.0,0.06343444,2.72237,0.10090917,2.7028856,17.857363,-2.209519,71.523544,1
12857.0,1809.0,0.08805266,2.173868,-0.13632262,2.1278758,17.857363,5.040481,71.523544,1
25222.0,1249.0,0.08635855,0.023721019,0.005544497,0.023409296,17.857363,2.540481,71.523544,1
21511.0,4815.0,0.094258144,2.1884964,0.07019855,2.2197142,17.857363,-7.459519,71.523544,1
13.999994,-16.000002,0.36108083,2.8352377,1.0533007,2.1046004,81.85736,-79.20952,135.52354,1
21328.0,-412.0,0.061967976,2.6881282,0.23459758,2.594418,17.857363,-0.709519,71.523544,1
5628.0,81.0,0.17509457,2.6892412,0.3473227,2.361621,17.857363,-0.709519,71.523544,1
23048.0,-359.0,0.03545837,0.008123199,-0.0015901696,0.0099434145,17.857363,-0.45951903,71.523544,1
16283.0,1012.0,0.13861163,2.6957963,0.14035007,2.6597676,17.857363,5.540481,71.523544,1
20076.0,1281.0001,0.09010176,1.0459983,0.036836192,1.042487,81.85736,28.040482,71.523544,1
19612.0,803.0,0.030937204,1.110081,-0.17336413,1.3351735,17.857363,-0.709519,71.523544,1
400.0,-86.0,0.12811746,0.26694086,-0.14488032,0.36855406,81.85736,-47.20952,135.52354,1
6617.0,-7371.0005,0.39550853,1.7826478,0.10844637,1.644965,17.857363,0.790481,71.523544,1
313.0,-6472.0,0.9044089,0.42398956,-2.035234,2.0440593,17.857363,-0.959519,71.523544,1
190.0,148.0,0.4713614,3.4205277,0.41441032,3.2541823,1169.8574,-72.95952,1223.5236,1
14.999994,-27.000002,0.6742381,2.7068908,-0.5189097,3.480472,81.85736,15.790481,135.52354,1
20873.0,-2084.0,0.07982149,2.6279304,-0.12872125,2.6603684,17.857363,-20.209518,71.523544,1
17201.0,-4944.0,0.12558058,2.3015792,-0.0075124423,2.2049093,17.857363,12.540481,71.523544,1
297.0,142.0,0.50738657,3.3466895,-0.28979382,3.5572195,785.85736,114.04048,647.52356,1
22659.0,2431.9998,0.05963295,0.044742864,-0.026437696,0.05005305,17.857363,-25.209518,71.523544,1
25885.0,3677.0,0.25330347,2.5287988,-0.06314296,2.4084215,17.857363,15.290481,71.523544,1
26689.0,5196.0,0.100273944,2.4492924,0.26073936,2.1951709,17.857363,5.790481,71.523544,1
22542.0,-285.0,0.04464008,0.027114669,0.0044865836,0.020056654,17.857363,3.040481,71.523544,1
14952.0,-4109.0,0.112808906,2.4794614,-0.2727305,2.664937,17.857363,1.790481,71.523544,1
12237.0,-4612.0,0.17290942,1.4995501,-0.056971908,1.5809215,17.857363,-2.209519,71.523544,1
15835.0,-138.0,0.14820564,2.3570588,-0.12733959,2.3710313,17.857363,-1.959519,71.523544,1
34.999996,-46.000004,0.5672069,4.104303,1.2969652,3.2612126,81.85736,-147.45952,199.52354,1
9566.0,-6215.0,0.30706865,2.3787725,0.1210492,2.599679,17.857363,-1.959519,71.523544,1
19382.0,-324.0,0.054315638,2.3095167,0.13281956,2.1374607,17.857363,9.790481,71.523544,1
19462.0,487.99997,0.09099598,1.1948855,-0.44589433,1.8476199,17.857363,-26.709518,71.523544,1
15435.999,139.0,0.07223138,2.5405037,0.0027681778,2.592939,81.85736,-0.959519,71.523544,1
9544.0,-7065.0,0.2838522,1.7930782,-0.2929534,2.3665476,17.857363,3.540481,71.523544,1
15852.999,1130.0001,0.18143818,1.0627801,0.35195583,1.0020231,17.857363,-0.45951903,71.523544,1
22727.0,1783.0,0.08951507,2.0306675,-0.06293554,2.257668,17.857363,-10.709519,71.523544,1
151.0,128.0,1.2317743,3.4657826,1.3671964,2.1815596,337.85736,319.79047,71.523544,1
15766.999,-2501.0,0.06477733,2.2959354,-0.02923033,2.2709785,17.857363,3.790481,71.523544,1
13117.0,1235.0,0.16678618,0.06337384,-0.019932374,0.04464333,81.85736,10.540481,71.523544,1
15344.999,-7273.0005,0.14765622,1.0026672,-0.58783925,1.4806937,17.857363,-13.209519,71.523544,1
7102.0,-3076.0,0.2489453,1.8725941,0.1416818,1.8049043,17.857363,2.290481,71.523544,1
21609.0,-845.0,0.10161392,2.2151406,-0.03139718,2.1147242,17.857363,-2.709519,71.523544,1
415.0,-113.0,0.100625224,0.35728672,-0.091569595,0.44490236,145.85736,-44.45952,135.52354,1
12446.0,-5548.0005,0.14047664,1.639468,0.0066787773,1.8667358,81.85736,29.290482,71.523544,1
24988.0,-101.0,0.01024408,2.278742,-0.24085444,2.4765334,17.857363,-1.959519,71.523544,1
186.0,117.0,0.70724034,2.283293,-0.39203724,2.665358,1297.8574,1236.7905,391.52356,1
41.999996,-5028.0,0.6641203,3.7067463,3.611862,0.792211,81.85736,72.54048,71.523544,1
6890.0,-813.0,0.2809166,1.0929725,-0.04580956,1.1032571,81.85736,26.290482,71.523544,1
117.99999,9.0,0.06896552,3.4433677,-0.3255785,3.5477352,81.85736,12.790481,199.52354,1
22471.0,3716.0,0.13873637,2.5640619,0.56130457,2.2332454,17.857363,6.540481,71.523544,1
23636.0,89.0,0.06567954,2.2754734,0.0045000413,2.296843,17.857363,11.540481,71.523544,1
15810.999,-4922.0,0.10592016,2.7507272,0.03377146,2.7165394,81.85736,25.790482,71.523544,1
23927.0,1680.0,0.09596771,2.5605853,-0.022889212,2.5439172,17.857363,6.540481,71.523544,1
445.0,123.00001,0.43786407,0.49090555,-0.37284392,0.6087946,145.85736,36.79048,199.52354,1
91.99999,17.0,0.21030404,3.7621365,0.04517776,3.86951,337.85736,178.04048,327.52356,1
17652.0,-4151.0,0.1839451,2.5164812,-0.10257706,2.4843817,17.857363,-0.709519,71.523544,1
24247.0,1968.0,0.038365595,2.6968124,-0.1158813,2.7334704,17.857363,-5.209519,71.523544,1
20682.0,5262.9995,0.12244507,0.02139453,-0.0057793683,0.024180342,17.857363,1.040481,71.523544,1
20386.0,-892.0,0.18180852,2.543801,0.09727472,2.4562597,17.857363,2.790481,71.523544,1
21761.0,-1613.0,0.103801735,2.2098582,-0.042992134,2.1175761,17.857363,-6.209519,71.523544,1
21219.0,6863.0,0.13566425,2.1495264,-0.05639129,2.3083735,17.857363,-8.959519,71.523544,1
14893.0,-2725.0002,0.08432245,2.2960994,0.1562096,2.3006186,17.857363,-6.709519,71.523544,1
21122.0,1295.0001,0.081431724,1.887572,-0.018403798,2.0821714,17.857363,1.290481,71.523544,1
